,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,974.92,975.0,960.53,966.34,2017-01-01T11:59:51.0000000Z,2017-01-01T00:01:08.0000000Z,2017-01-01T12:00:00.0000000Z,2017-01-01T00:00:00.0000000Z,1091,1344.3824746
1,997.75,1005.0,972.5,975.0,2017-01-01T23:59:46.0000000Z,2017-01-01T12:00:31.0000000Z,2017-01-02T00:00:00.0000000Z,2017-01-01T12:00:00.0000000Z,4332,5506.21083399
2,1024.92,1024.92,996.89,997.75,2017-01-02T11:59:37.0000000Z,2017-01-02T00:00:05.0000000Z,2017-01-02T12:00:00.0000000Z,2017-01-02T00:00:00.0000000Z,2827,3457.35135268
3,1012.54,1032.0,990.01,1024.92,2017-01-02T23:59:37.0000000Z,2017-01-02T12:00:58.0000000Z,2017-01-03T00:00:00.0000000Z,2017-01-02T12:00:00.0000000Z,4988,4710.0296775
4,1023.5,1029.92,999.99,1011.44,2017-01-03T11:59:30.0000000Z,2017-01-03T00:00:07.0000000Z,2017-01-03T12:00:00.0000000Z,2017-01-03T00:00:00.0000000Z,3914,4139.57901154
5,1035.24,1039.0,1015.23,1023.49,2017-01-03T23:59:32.0000000Z,2017-01-03T12:00:18.0000000Z,2017-01-04T00:00:00.0000000Z,2017-01-03T12:00:00.0000000Z,3957,4950.07901375
6,1081.93,1089.19,1028.56,1035.51,2017-01-04T11:59:39.0000000Z,2017-01-04T00:00:03.0000000Z,2017-01-04T12:00:00.0000000Z,2017-01-04T00:00:00.0000000Z,4981,6301.61159287
7,1114.92,1139.89,1059.73,1080.14,2017-01-04T23:59:47.0000000Z,2017-01-04T12:00:04.0000000Z,2017-01-05T00:00:00.0000000Z,2017-01-04T12:00:00.0000000Z,10987,15260.84537909
8,1096.8,1136.72,1050.0,1114.38,2017-01-05T11:59:52.0000000Z,2017-01-05T00:00:00.0000000Z,2017-01-05T12:00:00.0000000Z,2017-01-05T00:00:00.0000000Z,7343,9231.57669557
9,1004.74,1098.23,885.41,1096.8,2017-01-05T23:59:54.0000000Z,2017-01-05T12:00:10.0000000Z,2017-01-06T00:00:00.0000000Z,2017-01-05T12:00:00.0000000Z,15161,26786.95928827
10,898.98,1026.99,871.0,1004.73,2017-01-06T11:59:48.0000000Z,2017-01-06T00:00:13.0000000Z,2017-01-06T12:00:00.0000000Z,2017-01-06T00:00:00.0000000Z,8707,13333.99719399
11,893.89,919.99,878.0,900.03,2017-01-06T23:59:49.0000000Z,2017-01-06T12:00:03.0000000Z,2017-01-07T00:00:00.0000000Z,2017-01-06T12:00:00.0000000Z,9337,14582.70590494
12,874.01,900.16,812.28,894.02,2017-01-07T11:58:59.0000000Z,2017-01-07T00:00:00.0000000Z,2017-01-07T12:00:00.0000000Z,2017-01-07T00:00:00.0000000Z,7029,12560.45162718
13,906.2,907.05,861.33,874.01,2017-01-07T23:59:55.0000000Z,2017-01-07T12:00:00.0000000Z,2017-01-08T00:00:00.0000000Z,2017-01-07T12:00:00.0000000Z,4445,7840.66196385
14,901.89,941.81,892.57,906.2,2017-01-08T11:59:58.0000000Z,2017-01-08T00:00:34.0000000Z,2017-01-08T12:00:00.0000000Z,2017-01-08T00:00:00.0000000Z,3834,4773.61747752
15,909.75,924.83,881.3,905.0,2017-01-08T23:59:54.0000000Z,2017-01-08T12:00:00.0000000Z,2017-01-09T00:00:00.0000000Z,2017-01-08T12:00:00.0000000Z,2875,4163.87523031
16,900.83,912.87,875.0,909.8,2017-01-09T11:59:55.0000000Z,2017-01-09T00:00:10.0000000Z,2017-01-09T12:00:00.0000000Z,2017-01-09T00:00:00.0000000Z,2387,4262.83063682
17,896.23,910.58,883.98,900.83,2017-01-09T23:59:44.0000000Z,2017-01-09T12:00:53.0000000Z,2017-01-10T00:00:00.0000000Z,2017-01-09T12:00:00.0000000Z,2946,4453.35230414
18,902.38,912.47,889.41,896.09,2017-01-10T11:59:54.0000000Z,2017-01-10T00:00:19.0000000Z,2017-01-10T12:00:00.0000000Z,2017-01-10T00:00:00.0000000Z,1873,3282.61136562
19,905.05,908.0,898.25,902.33,2017-01-10T23:59:59.0000000Z,2017-01-10T12:00:06.0000000Z,2017-01-11T00:00:00.0000000Z,2017-01-10T12:00:00.0000000Z,3505,5252.84213499
20,833.98,918.4,825.05,905.24,2017-01-11T11:59:53.0000000Z,2017-01-11T00:00:20.0000000Z,2017-01-11T12:00:00.0000000Z,2017-01-11T00:00:00.0000000Z,7797,11134.46261264
21,778.62,833.08,755.0,833.08,2017-01-11T23:59:24.0000000Z,2017-01-11T12:00:03.0000000Z,2017-01-12T00:00:00.0000000Z,2017-01-11T12:00:00.0000000Z,15347,24759.30575531
22,767.11,782.37,751.34,778.7,2017-01-12T11:59:57.0000000Z,2017-01-12T00:00:41.0000000Z,2017-01-12T12:00:00.0000000Z,2017-01-12T00:00:00.0000000Z,8704,9202.15287339
23,807.47,832.99,766.73,767.11,2017-01-12T23:59:25.0000000Z,2017-01-12T12:00:01.0000000Z,2017-01-13T00:00:00.0000000Z,2017-01-12T12:00:00.0000000Z,5932,8197.98868126
24,802.68,812.0,775.0,807.51,2017-01-13T11:59:18.0000000Z,2017-01-13T00:00:12.0000000Z,2017-01-13T12:00:00.0000000Z,2017-01-13T00:00:00.0000000Z,8892,4798.68090239
25,825.86,831.4,792.22,801.81,2017-01-13T23:59:55.0000000Z,2017-01-13T12:01:25.0000000Z,2017-01-14T00:00:00.0000000Z,2017-01-13T12:00:00.0000000Z,4216,6610.83942763
26,834.57,837.76,817.0,825.98,2017-01-14T11:59:54.0000000Z,2017-01-14T00:00:19.0000000Z,2017-01-14T12:00:00.0000000Z,2017-01-14T00:00:00.0000000Z,2084,3185.49652805
27,818.27,837.01,810.0,834.6,2017-01-14T23:59:07.0000000Z,2017-01-14T12:00:05.0000000Z,2017-01-15T00:00:00.0000000Z,2017-01-14T12:00:00.0000000Z,2521,3429.22246357
28,817.0,823.45,810.55,819.52,2017-01-15T11:59:50.0000000Z,2017-01-15T00:00:00.0000000Z,2017-01-15T12:00:00.0000000Z,2017-01-15T00:00:00.0000000Z,2554,2004.30101366
29,821.86,823.27,808.0,816.51,2017-01-15T23:59:49.0000000Z,2017-01-15T12:00:17.0000000Z,2017-01-16T00:00:00.0000000Z,2017-01-15T12:00:00.0000000Z,2711,2227.16288983
30,821.86,835.0,818.09,821.86,2017-01-16T11:59:55.0000000Z,2017-01-16T00:00:13.0000000Z,2017-01-16T12:00:00.0000000Z,2017-01-16T00:00:00.0000000Z,3004,2868.44821168
31,831.81,834.11,821.35,821.74,2017-01-16T23:59:35.0000000Z,2017-01-16T12:00:03.0000000Z,2017-01-17T00:00:00.0000000Z,2017-01-16T12:00:00.0000000Z,2363,3297.59576573
32,876.61,896.23,827.0,831.76,2017-01-17T11:59:50.0000000Z,2017-01-17T00:00:24.0000000Z,2017-01-17T12:00:00.0000000Z,2017-01-17T00:00:00.0000000Z,8466,6811.55773773
33,905.99,908.5,868.56,876.61,2017-01-17T23:59:39.0000000Z,2017-01-17T12:00:08.0000000Z,2017-01-18T00:00:00.0000000Z,2017-01-17T12:00:00.0000000Z,4594,5452.61164684
34,896.94,915.99,882.42,905.95,2017-01-18T11:58:40.0000000Z,2017-01-18T00:00:03.0000000Z,2017-01-18T12:00:00.0000000Z,2017-01-18T00:00:00.0000000Z,5265,3820.35808589
35,887.7,898.91,851.74,898.04,2017-01-18T23:59:57.0000000Z,2017-01-18T12:00:25.0000000Z,2017-01-19T00:00:00.0000000Z,2017-01-18T12:00:00.0000000Z,6043,7361.54079257
36,888.79,899.0,878.89,887.69,2017-01-19T11:59:20.0000000Z,2017-01-19T00:00:03.0000000Z,2017-01-19T12:00:00.0000000Z,2017-01-19T00:00:00.0000000Z,5311,4825.13494922
37,901.01,910.0,888.79,888.79,2017-01-19T23:59:55.0000000Z,2017-01-19T12:00:37.0000000Z,2017-01-20T00:00:00.0000000Z,2017-01-19T12:00:00.0000000Z,4242,6269.46834839
38,888.54,902.43,880.0,902.23,2017-01-20T11:59:53.0000000Z,2017-01-20T00:00:05.0000000Z,2017-01-20T12:00:00.0000000Z,2017-01-20T00:00:00.0000000Z,5752,3371.03004396
39,895.8,900.99,888.55,888.55,2017-01-20T23:59:29.0000000Z,2017-01-20T12:00:31.0000000Z,2017-01-21T00:00:00.0000000Z,2017-01-20T12:00:00.0000000Z,2990,3247.5977201
40,921.47,926.0,895.0,895.81,2017-01-21T11:56:05.0000000Z,2017-01-21T00:00:09.0000000Z,2017-01-21T12:00:00.0000000Z,2017-01-21T00:00:00.0000000Z,2763,4288.65637223
41,921.98,928.0,915.03,922.25,2017-01-21T23:54:47.0000000Z,2017-01-21T12:01:03.0000000Z,2017-01-22T00:00:00.0000000Z,2017-01-21T12:00:00.0000000Z,1605,1576.97565833
