,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,298.4,298.6,292.3,293.13,2017-08-20T23:59:35.0000000Z,2017-08-20T22:24:06.0000000Z,2017-08-21T00:00:00.0000000Z,2017-08-20T12:00:00.0000000Z,202,289.70277589
1,330.02,332.97,292.71,297.26,2017-08-21T11:59:52.0000000Z,2017-08-21T00:04:06.0000000Z,2017-08-21T12:00:00.0000000Z,2017-08-21T00:00:00.0000000Z,4037,8771.500790156
2,319.31,353.0,315.0,330.02,2017-08-21T23:59:34.0000000Z,2017-08-21T12:00:04.0000000Z,2017-08-22T00:00:00.0000000Z,2017-08-21T12:00:00.0000000Z,5735,15979.188460119
3,311.05,328.8,291.86,319.37,2017-08-22T11:58:05.0000000Z,2017-08-22T00:00:18.0000000Z,2017-08-22T12:00:00.0000000Z,2017-08-22T00:00:00.0000000Z,4479,8593.141289187
4,312.22,323.0,304.92,310.26,2017-08-22T23:59:35.0000000Z,2017-08-22T12:00:05.0000000Z,2017-08-23T00:00:00.0000000Z,2017-08-22T12:00:00.0000000Z,4016,8558.824003048
5,320.25,324.68,311.34,313.43,2017-08-23T11:58:06.0000000Z,2017-08-23T00:01:34.0000000Z,2017-08-23T12:00:00.0000000Z,2017-08-23T00:00:00.0000000Z,2492,5366.002006698
6,315.61,321.59,312.0,320.94,2017-08-23T23:58:36.0000000Z,2017-08-23T12:03:18.0000000Z,2017-08-24T00:00:00.0000000Z,2017-08-23T12:00:00.0000000Z,4226,6184.124559756
7,323.12,323.12,312.4,315.61,2017-08-24T11:58:57.0000000Z,2017-08-24T00:00:23.0000000Z,2017-08-24T12:00:00.0000000Z,2017-08-24T00:00:00.0000000Z,2194,2909.827576419
8,323.84,327.49,318.0,322.99,2017-08-24T23:59:33.0000000Z,2017-08-24T12:00:21.0000000Z,2017-08-25T00:00:00.0000000Z,2017-08-24T12:00:00.0000000Z,4209,5369.699974984
9,331.09,335.0,322.21,323.85,2017-08-25T11:59:40.0000000Z,2017-08-25T00:00:24.0000000Z,2017-08-25T12:00:00.0000000Z,2017-08-25T00:00:00.0000000Z,2563,4328.118666088
10,329.0,337.22,325.01,331.09,2017-08-25T23:59:48.0000000Z,2017-08-25T12:00:17.0000000Z,2017-08-26T00:00:00.0000000Z,2017-08-25T12:00:00.0000000Z,2489,5538.6634251
11,329.25,331.75,324.56,329.55,2017-08-26T11:58:29.0000000Z,2017-08-26T00:00:01.0000000Z,2017-08-26T12:00:00.0000000Z,2017-08-26T00:00:00.0000000Z,2392,4280.881222908
12,332.38,335.12,325.59,329.13,2017-08-26T23:58:35.0000000Z,2017-08-26T12:00:01.0000000Z,2017-08-27T00:00:00.0000000Z,2017-08-26T12:00:00.0000000Z,2671,3883.93019851
13,334.91,336.33,332.38,332.42,2017-08-27T11:59:49.0000000Z,2017-08-27T00:00:25.0000000Z,2017-08-27T12:00:00.0000000Z,2017-08-27T00:00:00.0000000Z,2366,3978.870691607
14,347.55,347.55,333.54,334.88,2017-08-27T23:59:54.0000000Z,2017-08-27T12:00:26.0000000Z,2017-08-28T00:00:00.0000000Z,2017-08-27T12:00:00.0000000Z,2683,4119.669497649
15,340.06,350.29,333.01,347.71,2017-08-28T11:59:56.0000000Z,2017-08-28T00:00:14.0000000Z,2017-08-28T12:00:00.0000000Z,2017-08-28T00:00:00.0000000Z,2797,7086.07110274
16,346.68,348.12,339.12,340.06,2017-08-28T23:56:42.0000000Z,2017-08-28T12:00:04.0000000Z,2017-08-29T00:00:00.0000000Z,2017-08-28T12:00:00.0000000Z,4213,7110.525413598
17,359.0,367.98,345.0,346.83,2017-08-29T11:59:42.0000000Z,2017-08-29T00:00:30.0000000Z,2017-08-29T12:00:00.0000000Z,2017-08-29T00:00:00.0000000Z,4419,12669.054463307
18,372.37,376.55,359.0,359.0,2017-08-29T23:59:15.0000000Z,2017-08-29T12:00:13.0000000Z,2017-08-30T00:00:00.0000000Z,2017-08-29T12:00:00.0000000Z,5385,9180.825679989
19,375.0,390.68,365.0,372.12,2017-08-30T11:59:42.0000000Z,2017-08-30T00:00:26.0000000Z,2017-08-30T12:00:00.0000000Z,2017-08-30T00:00:00.0000000Z,6477,23126.841800717
20,383.03,388.51,374.99,375.0,2017-08-30T23:59:55.0000000Z,2017-08-30T12:00:05.0000000Z,2017-08-31T00:00:00.0000000Z,2017-08-30T12:00:00.0000000Z,3756,10791.604767776
21,384.27,385.72,380.05,383.38,2017-08-31T11:59:46.0000000Z,2017-08-31T00:02:02.0000000Z,2017-08-31T12:00:00.0000000Z,2017-08-31T00:00:00.0000000Z,2035,3887.507773435
22,387.95,393.0,384.2,384.97,2017-08-31T23:58:31.0000000Z,2017-08-31T12:00:02.0000000Z,2017-09-01T00:00:00.0000000Z,2017-08-31T12:00:00.0000000Z,6292,11557.875523904
23,392.15,396.0,384.2,387.98,2017-09-01T11:59:41.0000000Z,2017-09-01T00:00:13.0000000Z,2017-09-01T12:00:00.0000000Z,2017-09-01T00:00:00.0000000Z,5502,8697.424118938
24,390.0,395.0,388.64,392.15,2017-09-01T23:59:51.0000000Z,2017-09-01T12:00:01.0000000Z,2017-09-02T00:00:00.0000000Z,2017-09-01T12:00:00.0000000Z,6726,12959.006202857
25,362.52,392.45,351.8,390.33,2017-09-02T11:59:32.0000000Z,2017-09-02T00:00:03.0000000Z,2017-09-02T12:00:00.0000000Z,2017-09-02T00:00:00.0000000Z,7437,17258.972376828
26,351.5,364.91,327.0,362.45,2017-09-02T23:58:10.0000000Z,2017-09-02T12:00:30.0000000Z,2017-09-03T00:00:00.0000000Z,2017-09-02T12:00:00.0000000Z,5005,12437.761866948
27,344.11,370.2,341.2,351.47,2017-09-03T11:58:05.0000000Z,2017-09-03T00:00:03.0000000Z,2017-09-03T12:00:00.0000000Z,2017-09-03T00:00:00.0000000Z,3433,8843.391785139
28,350.62,351.9,331.0,343.44,2017-09-03T23:59:47.0000000Z,2017-09-03T12:00:02.0000000Z,2017-09-04T00:00:00.0000000Z,2017-09-03T12:00:00.0000000Z,3824,15237.062373975
29,297.72,352.16,295.14,350.62,2017-09-04T11:59:38.0000000Z,2017-09-04T00:00:12.0000000Z,2017-09-04T12:00:00.0000000Z,2017-09-04T00:00:00.0000000Z,5263,16912.284178579
30,300.0,319.0,275.15,298.03,2017-09-04T23:59:30.0000000Z,2017-09-04T12:00:14.0000000Z,2017-09-05T00:00:00.0000000Z,2017-09-04T12:00:00.0000000Z,8278,29259.746061041
31,304.82,304.9,270.0,302.71,2017-09-05T11:59:45.0000000Z,2017-09-05T00:02:33.0000000Z,2017-09-05T12:00:00.0000000Z,2017-09-05T00:00:00.0000000Z,4739,14103.299507818
32,316.54,323.76,295.02,304.81,2017-09-05T23:59:20.0000000Z,2017-09-05T12:00:29.0000000Z,2017-09-06T00:00:00.0000000Z,2017-09-05T12:00:00.0000000Z,6426,17660.523564596
33,334.52,334.92,315.01,316.62,2017-09-06T11:59:37.0000000Z,2017-09-06T00:01:03.0000000Z,2017-09-06T12:00:00.0000000Z,2017-09-06T00:00:00.0000000Z,5846,13583.049103969
34,337.36,341.6,325.0,334.52,2017-09-06T23:59:37.0000000Z,2017-09-06T12:00:16.0000000Z,2017-09-07T00:00:00.0000000Z,2017-09-06T12:00:00.0000000Z,6563,13498.527118318
35,332.0,338.77,323.0,337.36,2017-09-07T11:59:06.0000000Z,2017-09-07T00:00:19.0000000Z,2017-09-07T12:00:00.0000000Z,2017-09-07T00:00:00.0000000Z,3620,8652.834123007
36,335.35,339.89,329.82,331.98,2017-09-07T23:59:58.0000000Z,2017-09-07T12:00:07.0000000Z,2017-09-08T00:00:00.0000000Z,2017-09-07T12:00:00.0000000Z,3637,13378.139773777
37,330.9,335.63,328.22,335.63,2017-09-08T11:59:26.0000000Z,2017-09-08T00:00:43.0000000Z,2017-09-08T12:00:00.0000000Z,2017-09-08T00:00:00.0000000Z,2632,5412.070897139
38,305.86,332.08,290.01,330.92,2017-09-08T23:59:27.0000000Z,2017-09-08T12:02:22.0000000Z,2017-09-09T00:00:00.0000000Z,2017-09-08T12:00:00.0000000Z,11299,33249.020052039
39,304.97,307.96,293.38,305.8,2017-09-09T11:59:46.0000000Z,2017-09-09T00:00:16.0000000Z,2017-09-09T12:00:00.0000000Z,2017-09-09T00:00:00.0000000Z,3913,6898.357724988
40,303.81,306.99,290.0,304.97,2017-09-09T23:57:59.0000000Z,2017-09-09T12:00:08.0000000Z,2017-09-10T00:00:00.0000000Z,2017-09-09T12:00:00.0000000Z,2974,5510.645706274
41,284.98,303.86,273.0,303.86,2017-09-10T11:58:54.0000000Z,2017-09-10T00:00:55.0000000Z,2017-09-10T12:00:00.0000000Z,2017-09-10T00:00:00.0000000Z,3896,19674.546821707
42,298.0,305.98,282.0,284.98,2017-09-10T23:59:15.0000000Z,2017-09-10T12:00:41.0000000Z,2017-09-11T00:00:00.0000000Z,2017-09-10T12:00:00.0000000Z,6378,19136.368127891
43,293.06,305.99,285.75,298.17,2017-09-11T11:59:42.0000000Z,2017-09-11T00:03:02.0000000Z,2017-09-11T12:00:00.0000000Z,2017-09-11T00:00:00.0000000Z,5187,8425.317339865
44,297.32,302.35,291.23,293.02,2017-09-11T23:59:57.0000000Z,2017-09-11T12:00:18.0000000Z,2017-09-12T00:00:00.0000000Z,2017-09-11T12:00:00.0000000Z,5032,10979.233665228
45,311.05,316.5,296.42,297.31,2017-09-12T11:58:52.0000000Z,2017-09-12T00:00:06.0000000Z,2017-09-12T12:00:00.0000000Z,2017-09-12T00:00:00.0000000Z,5714,11859.95962089
46,293.85,310.98,285.0,310.9,2017-09-12T23:57:33.0000000Z,2017-09-12T12:01:09.0000000Z,2017-09-13T00:00:00.0000000Z,2017-09-12T12:00:00.0000000Z,6874,19253.232421263
47,262.9,294.31,262.33,293.96,2017-09-13T11:59:59.0000000Z,2017-09-13T00:02:48.0000000Z,2017-09-13T12:00:00.0000000Z,2017-09-13T00:00:00.0000000Z,7836,21456.027979274
48,275.25,282.3,255.06,262.7,2017-09-13T23:58:52.0000000Z,2017-09-13T12:00:04.0000000Z,2017-09-14T00:00:00.0000000Z,2017-09-13T12:00:00.0000000Z,7627,27771.193465376
49,250.0,280.68,247.62,275.79,2017-09-14T11:59:36.0000000Z,2017-09-14T00:00:02.0000000Z,2017-09-14T12:00:00.0000000Z,2017-09-14T00:00:00.0000000Z,5683,14883.590045878
50,223.4,253.55,221.6,249.9,2017-09-14T23:58:45.0000000Z,2017-09-14T12:00:01.0000000Z,2017-09-15T00:00:00.0000000Z,2017-09-14T12:00:00.0000000Z,12615,56370.935105933
51,202.37,250.0,201.0,223.1,2017-09-15T11:59:28.0000000Z,2017-09-15T00:00:09.0000000Z,2017-09-15T12:00:00.0000000Z,2017-09-15T00:00:00.0000000Z,9482,35838.61990401
52,257.36,266.0,202.36,204.65,2017-09-15T23:59:52.0000000Z,2017-09-15T12:00:22.0000000Z,2017-09-16T00:00:00.0000000Z,2017-09-15T12:00:00.0000000Z,17848,60381.933901244
53,253.26,271.34,244.0,257.38,2017-09-16T11:59:52.0000000Z,2017-09-16T00:00:17.0000000Z,2017-09-16T12:00:00.0000000Z,2017-09-16T00:00:00.0000000Z,7513,19450.930925264
54,253.08,257.41,240.47,253.26,2017-09-16T23:59:15.0000000Z,2017-09-16T12:00:05.0000000Z,2017-09-17T00:00:00.0000000Z,2017-09-16T12:00:00.0000000Z,5145,12008.513650417
55,244.3,253.24,236.03,253.08,2017-09-17T11:59:32.0000000Z,2017-09-17T00:00:06.0000000Z,2017-09-17T12:00:00.0000000Z,2017-09-17T00:00:00.0000000Z,4182,9434.679096939
56,257.1,263.88,244.21,244.59,2017-09-17T23:59:45.0000000Z,2017-09-17T12:03:02.0000000Z,2017-09-18T00:00:00.0000000Z,2017-09-17T12:00:00.0000000Z,5263,10089.583667875
57,285.8,294.25,256.76,257.08,2017-09-18T11:59:59.0000000Z,2017-09-18T00:00:06.0000000Z,2017-09-18T12:00:00.0000000Z,2017-09-18T00:00:00.0000000Z,12117,31824.187215334
58,298.0,299.91,285.0,286.0,2017-09-18T23:59:45.0000000Z,2017-09-18T12:00:01.0000000Z,2017-09-19T00:00:00.0000000Z,2017-09-18T12:00:00.0000000Z,6932,16219.447534535
59,287.75,299.69,275.58,298.0,2017-09-19T11:59:54.0000000Z,2017-09-19T00:00:42.0000000Z,2017-09-19T12:00:00.0000000Z,2017-09-19T00:00:00.0000000Z,5422,11598.440511266
60,282.62,292.98,278.43,287.38,2017-09-19T23:59:57.0000000Z,2017-09-19T12:00:04.0000000Z,2017-09-20T00:00:00.0000000Z,2017-09-19T12:00:00.0000000Z,4986,12293.067606597
61,284.0,287.5,276.43,283.11,2017-09-20T11:56:14.0000000Z,2017-09-20T00:00:26.0000000Z,2017-09-20T12:00:00.0000000Z,2017-09-20T00:00:00.0000000Z,3344,7992.995520359
62,283.51,293.02,282.25,284.09,2017-09-20T23:59:16.0000000Z,2017-09-20T12:00:29.0000000Z,2017-09-21T00:00:00.0000000Z,2017-09-20T12:00:00.0000000Z,4075,9138.244039925
