,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,42.04,42.99,40.55,41.7,2017-06-28T23:49:31.0000000Z,2017-06-28T14:44:19.0000000Z,2017-06-29T00:00:00.0000000Z,2017-06-28T12:00:00.0000000Z,811,18559.116545219
1,40.46,41.88,39.64,41.8,2017-06-29T11:58:59.0000000Z,2017-06-29T00:02:36.0000000Z,2017-06-29T12:00:00.0000000Z,2017-06-29T00:00:00.0000000Z,353,8282.74371265
2,40.5,41.97,39.88,40.27,2017-06-29T23:43:21.0000000Z,2017-06-29T12:17:32.0000000Z,2017-06-30T00:00:00.0000000Z,2017-06-29T12:00:00.0000000Z,319,6274.78750918
3,41.01,41.31,39.5,40.78,2017-06-30T11:53:31.0000000Z,2017-06-30T00:25:17.0000000Z,2017-06-30T12:00:00.0000000Z,2017-06-30T00:00:00.0000000Z,632,15543.87632685
4,39.88,41.3,39.3,41.11,2017-06-30T23:52:56.0000000Z,2017-06-30T12:00:49.0000000Z,2017-07-01T00:00:00.0000000Z,2017-06-30T12:00:00.0000000Z,343,4559.31379578
5,39.45,40.0,38.52,39.73,2017-07-01T11:56:17.0000000Z,2017-07-01T00:01:31.0000000Z,2017-07-01T12:00:00.0000000Z,2017-07-01T00:00:00.0000000Z,376,5516.72648466
6,38.1,39.57,37.18,39.18,2017-07-01T23:55:09.0000000Z,2017-07-01T12:10:58.0000000Z,2017-07-02T00:00:00.0000000Z,2017-07-01T12:00:00.0000000Z,945,19242.33494304
7,38.79,39.04,37.06,37.6,2017-07-02T11:38:54.0000000Z,2017-07-02T00:36:41.0000000Z,2017-07-02T12:00:00.0000000Z,2017-07-02T00:00:00.0000000Z,169,2219.35334539
8,41.42,41.89,38.41,39.04,2017-07-02T23:54:51.0000000Z,2017-07-02T12:03:26.0000000Z,2017-07-03T00:00:00.0000000Z,2017-07-02T12:00:00.0000000Z,482,9109.94394031
9,46.36,46.39,40.38,41.41,2017-07-03T11:58:42.0000000Z,2017-07-03T00:03:25.0000000Z,2017-07-03T12:00:00.0000000Z,2017-07-03T00:00:00.0000000Z,1126,25142.88366778
10,45.47,47.64,45.4,45.42,2017-07-03T23:53:10.0000000Z,2017-07-03T12:00:45.0000000Z,2017-07-04T00:00:00.0000000Z,2017-07-03T12:00:00.0000000Z,701,12454.48830006
11,50.21,51.57,45.15,45.34,2017-07-04T11:58:16.0000000Z,2017-07-04T00:02:23.0000000Z,2017-07-04T12:00:00.0000000Z,2017-07-04T00:00:00.0000000Z,1281,25256.0892359
12,55.01,55.01,49.3,50.08,2017-07-04T23:58:44.0000000Z,2017-07-04T12:11:54.0000000Z,2017-07-05T00:00:00.0000000Z,2017-07-04T12:00:00.0000000Z,1322,35931.7542653
13,51.45,56.73,50.06,54.69,2017-07-05T11:54:59.0000000Z,2017-07-05T00:05:04.0000000Z,2017-07-05T12:00:00.0000000Z,2017-07-05T00:00:00.0000000Z,1033,17488.72791472
14,52.66,53.8,48.95,51.55,2017-07-05T23:56:12.0000000Z,2017-07-05T12:12:10.0000000Z,2017-07-06T00:00:00.0000000Z,2017-07-05T12:00:00.0000000Z,859,16500.18334328
15,50.11,53.6,49.44,52.66,2017-07-06T11:58:53.0000000Z,2017-07-06T00:03:37.0000000Z,2017-07-06T12:00:00.0000000Z,2017-07-06T00:00:00.0000000Z,389,4367.24696079
16,50.92,51.84,50.16,50.62,2017-07-06T23:57:17.0000000Z,2017-07-06T12:08:04.0000000Z,2017-07-07T00:00:00.0000000Z,2017-07-06T12:00:00.0000000Z,379,4789.83681497
17,47.01,51.29,47.0,50.91,2017-07-07T11:59:43.0000000Z,2017-07-07T00:02:04.0000000Z,2017-07-07T12:00:00.0000000Z,2017-07-07T00:00:00.0000000Z,963,13041.23670022
18,46.17,50.99,44.51,47.01,2017-07-07T23:59:22.0000000Z,2017-07-07T12:00:04.0000000Z,2017-07-08T00:00:00.0000000Z,2017-07-07T12:00:00.0000000Z,1121,31638.76658319
19,48.27,48.89,44.35,46.18,2017-07-08T11:56:50.0000000Z,2017-07-08T00:00:11.0000000Z,2017-07-08T12:00:00.0000000Z,2017-07-08T00:00:00.0000000Z,593,7292.06310104
20,50.7,52.0,47.71,47.72,2017-07-08T23:59:41.0000000Z,2017-07-08T12:01:02.0000000Z,2017-07-09T00:00:00.0000000Z,2017-07-08T12:00:00.0000000Z,624,8927.21752176
21,50.51,52.35,48.5,51.25,2017-07-09T11:58:26.0000000Z,2017-07-09T00:04:44.0000000Z,2017-07-09T12:00:00.0000000Z,2017-07-09T00:00:00.0000000Z,344,4976.66403479
22,48.31,50.69,48.31,50.5,2017-07-09T23:53:59.0000000Z,2017-07-09T12:04:05.0000000Z,2017-07-10T00:00:00.0000000Z,2017-07-09T12:00:00.0000000Z,356,5628.95943412
23,48.0,49.91,47.28,48.74,2017-07-10T11:59:28.0000000Z,2017-07-10T00:00:54.0000000Z,2017-07-10T12:00:00.0000000Z,2017-07-10T00:00:00.0000000Z,195,2543.26430904
24,44.8,48.44,42.31,48.27,2017-07-10T23:59:39.0000000Z,2017-07-10T12:00:43.0000000Z,2017-07-11T00:00:00.0000000Z,2017-07-10T12:00:00.0000000Z,1369,30224.54567682
25,45.05,45.89,41.5,44.8,2017-07-11T11:59:07.0000000Z,2017-07-11T00:02:32.0000000Z,2017-07-11T12:00:00.0000000Z,2017-07-11T00:00:00.0000000Z,2142,57471.41965807
26,44.19,46.76,43.11,45.04,2017-07-11T23:47:32.0000000Z,2017-07-11T12:05:07.0000000Z,2017-07-12T00:00:00.0000000Z,2017-07-11T12:00:00.0000000Z,1071,23052.03570982
27,46.82,46.99,42.0,43.54,2017-07-12T11:57:02.0000000Z,2017-07-12T00:10:50.0000000Z,2017-07-12T12:00:00.0000000Z,2017-07-12T00:00:00.0000000Z,506,10459.81885217
28,47.25,48.99,45.59,46.46,2017-07-12T23:59:44.0000000Z,2017-07-12T12:00:58.0000000Z,2017-07-13T00:00:00.0000000Z,2017-07-12T12:00:00.0000000Z,989,24668.44820835
29,46.89,47.87,45.0,47.22,2017-07-13T11:54:20.0000000Z,2017-07-13T00:01:31.0000000Z,2017-07-13T12:00:00.0000000Z,2017-07-13T00:00:00.0000000Z,541,10037.57481908
30,45.68,47.0,44.16,46.72,2017-07-13T23:56:46.0000000Z,2017-07-13T12:02:30.0000000Z,2017-07-14T00:00:00.0000000Z,2017-07-13T12:00:00.0000000Z,663,10470.09635317
31,45.57,46.0,44.3,45.6,2017-07-14T11:17:56.0000000Z,2017-07-14T00:25:17.0000000Z,2017-07-14T12:00:00.0000000Z,2017-07-14T00:00:00.0000000Z,233,3740.40106881
32,42.52,44.9,40.0,44.9,2017-07-14T23:59:12.0000000Z,2017-07-14T12:03:41.0000000Z,2017-07-15T00:00:00.0000000Z,2017-07-14T12:00:00.0000000Z,1415,39522.86791899
33,39.31,42.9,38.59,42.52,2017-07-15T11:48:37.0000000Z,2017-07-15T00:00:11.0000000Z,2017-07-15T12:00:00.0000000Z,2017-07-15T00:00:00.0000000Z,897,18900.32073494
