,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0.00649,0.0065,0.00645,0.00645,2017-01-25T22:21:04.0000000Z,2017-01-25T20:00:14.0000000Z,2017-01-26T00:00:00.0000000Z,2017-01-25T12:00:00.0000000Z,52,535232.11676851
1,0.00638,0.0065,0.00638,0.0065,2017-01-26T10:31:43.0000000Z,2017-01-26T00:08:38.0000000Z,2017-01-26T12:00:00.0000000Z,2017-01-26T00:00:00.0000000Z,30,366651.31917298
2,0.00642,0.00642,0.00642,0.00642,2017-02-01T14:04:47.0000000Z,2017-02-01T14:04:44.0000000Z,2017-02-02T00:00:00.0000000Z,2017-02-01T12:00:00.0000000Z,3,12834.83629132
3,0.00641,0.00643,0.00626,0.00643,2017-02-07T22:32:15.0000000Z,2017-02-07T16:03:30.0000000Z,2017-02-08T00:00:00.0000000Z,2017-02-07T12:00:00.0000000Z,59,375493.55722066
4,0.00643,0.00643,0.00608,0.00635,2017-02-08T11:35:21.0000000Z,2017-02-08T02:24:18.0000000Z,2017-02-08T12:00:00.0000000Z,2017-02-08T00:00:00.0000000Z,103,920362.91639798
5,0.00635,0.00648,0.00634,0.00642,2017-02-08T21:06:32.0000000Z,2017-02-08T12:09:43.0000000Z,2017-02-09T00:00:00.0000000Z,2017-02-08T12:00:00.0000000Z,107,2259945.02431047
6,0.00632,0.00643,0.00632,0.00633,2017-02-09T09:49:24.0000000Z,2017-02-09T03:11:27.0000000Z,2017-02-09T12:00:00.0000000Z,2017-02-09T00:00:00.0000000Z,28,685294.27216151
7,0.00633,0.00639,0.00609,0.00632,2017-02-09T23:52:43.0000000Z,2017-02-09T12:32:05.0000000Z,2017-02-10T00:00:00.0000000Z,2017-02-09T12:00:00.0000000Z,230,2982722.20120421
8,0.00628,0.00635,0.00595,0.00626,2017-02-10T11:48:18.0000000Z,2017-02-10T00:11:47.0000000Z,2017-02-10T12:00:00.0000000Z,2017-02-10T00:00:00.0000000Z,147,2560645.70418302
9,0.00631,0.00635,0.00621,0.00629,2017-02-10T22:41:11.0000000Z,2017-02-10T12:05:39.0000000Z,2017-02-11T00:00:00.0000000Z,2017-02-10T12:00:00.0000000Z,53,743700.66938562
10,0.00634,0.00638,0.00627,0.00631,2017-02-11T11:33:57.0000000Z,2017-02-11T00:07:51.0000000Z,2017-02-11T12:00:00.0000000Z,2017-02-11T00:00:00.0000000Z,37,545958.12782719
11,0.00638,0.0064,0.00632,0.00638,2017-02-11T23:32:23.0000000Z,2017-02-11T13:05:32.0000000Z,2017-02-12T00:00:00.0000000Z,2017-02-11T12:00:00.0000000Z,15,389364.32234771
12,0.00641,0.00641,0.00633,0.00638,2017-02-12T11:41:02.0000000Z,2017-02-12T00:57:31.0000000Z,2017-02-12T12:00:00.0000000Z,2017-02-12T00:00:00.0000000Z,17,294155.666421
13,0.00627,0.00639,0.00627,0.00638,2017-02-12T22:39:00.0000000Z,2017-02-12T12:36:09.0000000Z,2017-02-13T00:00:00.0000000Z,2017-02-12T12:00:00.0000000Z,15,100511.35674545
14,0.00625,0.00635,0.00624,0.00635,2017-02-13T11:17:06.0000000Z,2017-02-13T02:00:50.0000000Z,2017-02-13T12:00:00.0000000Z,2017-02-13T00:00:00.0000000Z,19,155947.2
15,0.00624,0.00633,0.0062,0.00628,2017-02-13T22:08:28.0000000Z,2017-02-13T13:20:33.0000000Z,2017-02-14T00:00:00.0000000Z,2017-02-13T12:00:00.0000000Z,233,3908609.5126455
16,0.00637,0.00638,0.00621,0.00625,2017-02-14T11:45:38.0000000Z,2017-02-14T05:38:33.0000000Z,2017-02-14T12:00:00.0000000Z,2017-02-14T00:00:00.0000000Z,72,1174896.25456465
17,0.00622,0.00637,0.00621,0.00637,2017-02-14T22:32:22.0000000Z,2017-02-14T12:09:30.0000000Z,2017-02-15T00:00:00.0000000Z,2017-02-14T12:00:00.0000000Z,125,2557690.40529258
18,0.00625,0.00629,0.0062,0.00628,2017-02-15T11:57:53.0000000Z,2017-02-15T02:23:30.0000000Z,2017-02-15T12:00:00.0000000Z,2017-02-15T00:00:00.0000000Z,17,225582.12971987
19,0.0061,0.00622,0.00593,0.0062,2017-02-15T23:53:54.0000000Z,2017-02-15T13:22:46.0000000Z,2017-02-16T00:00:00.0000000Z,2017-02-15T12:00:00.0000000Z,292,6442820.83246615
20,0.00608,0.00636,0.0057,0.00601,2017-02-16T11:54:55.0000000Z,2017-02-16T00:04:13.0000000Z,2017-02-16T12:00:00.0000000Z,2017-02-16T00:00:00.0000000Z,298,6273342.26299497
21,0.00593,0.00628,0.005,0.00614,2017-02-16T23:59:54.0000000Z,2017-02-16T12:00:46.0000000Z,2017-02-17T00:00:00.0000000Z,2017-02-16T12:00:00.0000000Z,813,21470504.47360819
22,0.006,0.00611,0.00557,0.00589,2017-02-17T11:57:12.0000000Z,2017-02-17T00:00:46.0000000Z,2017-02-17T12:00:00.0000000Z,2017-02-17T00:00:00.0000000Z,108,1686834.681604309
23,0.00587,0.00609,0.00546,0.006,2017-02-17T23:53:17.0000000Z,2017-02-17T12:23:29.0000000Z,2017-02-18T00:00:00.0000000Z,2017-02-17T12:00:00.0000000Z,510,15855026.48203444
24,0.00575,0.006,0.00561,0.0059,2017-02-18T11:29:59.0000000Z,2017-02-18T00:07:46.0000000Z,2017-02-18T12:00:00.0000000Z,2017-02-18T00:00:00.0000000Z,115,1219424.32901784
25,0.00554,0.0057,0.005,0.00568,2017-02-18T23:51:59.0000000Z,2017-02-18T12:06:26.0000000Z,2017-02-19T00:00:00.0000000Z,2017-02-18T12:00:00.0000000Z,262,10108552.96236988
26,0.00568,0.0057,0.00551,0.00556,2017-02-19T11:14:34.0000000Z,2017-02-19T00:43:00.0000000Z,2017-02-19T12:00:00.0000000Z,2017-02-19T00:00:00.0000000Z,12,136246.31737315
27,0.00591,0.00591,0.00566,0.0057,2017-02-19T23:36:56.0000000Z,2017-02-19T12:17:09.0000000Z,2017-02-20T00:00:00.0000000Z,2017-02-19T12:00:00.0000000Z,110,1368657.0592263
28,0.00587,0.00592,0.00574,0.00591,2017-02-20T11:23:30.0000000Z,2017-02-20T03:02:03.0000000Z,2017-02-20T12:00:00.0000000Z,2017-02-20T00:00:00.0000000Z,58,1252633.77174235
29,0.00596,0.00597,0.00565,0.00577,2017-02-20T23:58:11.0000000Z,2017-02-20T12:54:29.0000000Z,2017-02-21T00:00:00.0000000Z,2017-02-20T12:00:00.0000000Z,115,1745371.75449632
30,0.00571,0.00596,0.00571,0.00596,2017-02-21T11:17:07.0000000Z,2017-02-21T00:03:53.0000000Z,2017-02-21T12:00:00.0000000Z,2017-02-21T00:00:00.0000000Z,51,1108604.61746469
31,0.00585,0.00588,0.00574,0.0058,2017-02-21T23:49:57.0000000Z,2017-02-21T12:57:31.0000000Z,2017-02-22T00:00:00.0000000Z,2017-02-21T12:00:00.0000000Z,52,1054898.93122638
32,0.00591,0.00592,0.00581,0.00589,2017-02-22T09:30:10.0000000Z,2017-02-22T02:14:46.0000000Z,2017-02-22T12:00:00.0000000Z,2017-02-22T00:00:00.0000000Z,39,1243032.40018523
33,0.00583,0.00595,0.00583,0.00591,2017-02-22T21:05:58.0000000Z,2017-02-22T12:06:15.0000000Z,2017-02-23T00:00:00.0000000Z,2017-02-22T12:00:00.0000000Z,40,1998222.5562473
34,0.00587,0.00587,0.00574,0.00582,2017-02-23T11:55:40.0000000Z,2017-02-23T04:22:44.0000000Z,2017-02-23T12:00:00.0000000Z,2017-02-23T00:00:00.0000000Z,38,522828.76600577
35,0.00585,0.00594,0.00582,0.00587,2017-02-23T23:57:15.0000000Z,2017-02-23T12:21:08.0000000Z,2017-02-24T00:00:00.0000000Z,2017-02-23T12:00:00.0000000Z,128,4245804.34430964
36,0.00561,0.00595,0.0055,0.00584,2017-02-24T11:25:04.0000000Z,2017-02-24T00:09:32.0000000Z,2017-02-24T12:00:00.0000000Z,2017-02-24T00:00:00.0000000Z,182,2292933.91054452
37,0.0056,0.0058,0.00554,0.0057,2017-02-24T23:01:54.0000000Z,2017-02-24T13:36:19.0000000Z,2017-02-25T00:00:00.0000000Z,2017-02-24T12:00:00.0000000Z,83,1030979.41502479
38,0.00572,0.00583,0.00571,0.00571,2017-02-25T10:49:44.0000000Z,2017-02-25T03:07:40.0000000Z,2017-02-25T12:00:00.0000000Z,2017-02-25T00:00:00.0000000Z,68,455716.69956821
39,0.00563,0.00582,0.0056,0.00582,2017-02-25T19:49:05.0000000Z,2017-02-25T12:53:16.0000000Z,2017-02-26T00:00:00.0000000Z,2017-02-25T12:00:00.0000000Z,66,462679.65710773
40,0.0057,0.00573,0.00562,0.00565,2017-02-26T11:53:42.0000000Z,2017-02-26T01:09:17.0000000Z,2017-02-26T12:00:00.0000000Z,2017-02-26T00:00:00.0000000Z,13,159226.0087106
41,0.00566,0.00567,0.00565,0.00567,2017-02-26T23:06:57.0000000Z,2017-02-26T14:36:11.0000000Z,2017-02-27T00:00:00.0000000Z,2017-02-26T12:00:00.0000000Z,10,309235.12479037
42,0.0056,0.0057,0.0056,0.0057,2017-02-27T08:40:03.0000000Z,2017-02-27T00:42:25.0000000Z,2017-02-27T12:00:00.0000000Z,2017-02-27T00:00:00.0000000Z,15,345956.85543667
43,0.00556,0.00567,0.00556,0.0056,2017-02-27T23:37:11.0000000Z,2017-02-27T12:16:04.0000000Z,2017-02-28T00:00:00.0000000Z,2017-02-27T12:00:00.0000000Z,40,1054394.20149048
44,0.00535,0.0056,0.00531,0.00558,2017-02-28T11:44:37.0000000Z,2017-02-28T00:01:21.0000000Z,2017-02-28T12:00:00.0000000Z,2017-02-28T00:00:00.0000000Z,92,1469063.464169
45,0.00557,0.0057,0.00536,0.00536,2017-02-28T23:59:35.0000000Z,2017-02-28T12:06:36.0000000Z,2017-03-01T00:00:00.0000000Z,2017-02-28T12:00:00.0000000Z,249,4880293.58777969
46,0.00546,0.00557,0.0054,0.00555,2017-03-01T11:53:40.0000000Z,2017-03-01T00:03:16.0000000Z,2017-03-01T12:00:00.0000000Z,2017-03-01T00:00:00.0000000Z,118,2875589.61822872
47,0.00539,0.00558,0.00525,0.00543,2017-03-01T23:41:22.0000000Z,2017-03-01T12:08:19.0000000Z,2017-03-02T00:00:00.0000000Z,2017-03-01T12:00:00.0000000Z,151,2828164.93293814
48,0.00579,0.006,0.00531,0.00531,2017-03-02T11:42:50.0000000Z,2017-03-02T00:11:30.0000000Z,2017-03-02T12:00:00.0000000Z,2017-03-02T00:00:00.0000000Z,321,5800606.69313423
49,0.00606,0.00635,0.00558,0.00583,2017-03-02T23:45:12.0000000Z,2017-03-02T12:06:59.0000000Z,2017-03-03T00:00:00.0000000Z,2017-03-02T12:00:00.0000000Z,632,18500054.27561378
50,0.00618,0.00639,0.00603,0.00604,2017-03-03T11:59:18.0000000Z,2017-03-03T00:05:36.0000000Z,2017-03-03T12:00:00.0000000Z,2017-03-03T00:00:00.0000000Z,185,3857689.47440043
51,0.00649,0.00651,0.00592,0.00618,2017-03-03T23:54:45.0000000Z,2017-03-03T12:00:18.0000000Z,2017-03-04T00:00:00.0000000Z,2017-03-03T12:00:00.0000000Z,336,8020059.9060261
52,0.00636,0.00668,0.0063,0.00649,2017-03-04T11:50:46.0000000Z,2017-03-04T00:02:01.0000000Z,2017-03-04T12:00:00.0000000Z,2017-03-04T00:00:00.0000000Z,124,1486935.06485897
53,0.0062,0.00645,0.0062,0.00631,2017-03-04T23:35:53.0000000Z,2017-03-04T12:06:07.0000000Z,2017-03-05T00:00:00.0000000Z,2017-03-04T12:00:00.0000000Z,114,3094393.14979743
54,0.00606,0.00623,0.00601,0.0062,2017-03-05T11:45:16.0000000Z,2017-03-05T00:01:32.0000000Z,2017-03-05T12:00:00.0000000Z,2017-03-05T00:00:00.0000000Z,53,440376.71120236
