date,begin,high,low,end,volume
2018/2/16 14:00,"10,130","10,170","10,090","10,120",29
2018/2/16 13:00,"10,060","10,140","9,980","10,110",106
2018/2/16 12:00,"10,180","10,190","10,050","10,060",56
2018/2/16 11:00,"10,240","10,260","10,170","10,200",48
2018/2/16 10:00,"10,240","10,320","10,200","10,230",102
2018/2/16 9:00,"10,130","10,290","10,120","10,220",178
2018/2/16 8:00,"10,140","10,200","10,030","10,140",83
2018/2/16 7:00,"9,970","10,190","9,970","10,100",121
2018/2/16 6:00,"10,060","10,070","9,880","9,990",90
2018/2/16 5:00,"10,070","10,140","10,000","10,120",145
2018/2/16 4:00,"10,150","10,200","10,040","10,080",424
2018/2/16 3:00,"10,170","10,200","9,970","10,140",652
2018/2/16 2:00,"10,090","10,220","9,980","10,160",716
2018/2/16 1:00,"9,880","10,090","9,850","10,080",285
2018/2/16 0:00,"9,870","9,920","9,800","9,890",272
2018/2/15 23:00,"9,810","9,910","9,790","9,870",494
2018/2/15 22:00,"9,720","9,820","9,640","9,800",343
2018/2/15 21:00,"9,700","9,790","9,680","9,700",227
2018/2/15 20:00,"9,600","9,720","9,560","9,690",154
2018/2/15 19:00,"9,600","9,780","9,580","9,590",191
2018/2/15 18:00,"9,920","9,940","9,480","9,580",605
2018/2/15 17:00,"9,840","9,950","9,830","9,930",151
2018/2/15 16:00,"9,720","9,880","9,720","9,850",145
2018/2/15 15:00,"9,750","9,750","9,700","9,730",44
2018/2/15 14:00,"9,690","9,790","9,690","9,730",60
2018/2/15 13:00,"9,670","9,760","9,660","9,690",126
2018/2/15 12:00,"9,650","9,730","9,630","9,660",80
2018/2/15 11:00,"9,490","9,750","9,480","9,640",268
2018/2/15 10:00,"9,470","9,520","9,410","9,510",68
2018/2/15 9:00,"9,510","9,520","9,360","9,450",72
2018/2/15 8:00,"9,470","9,530","9,440","9,500",116
2018/2/15 7:00,"9,390","9,460","9,390","9,450",77
2018/2/15 6:00,"9,350","9,384","9,310","9,384",31
2018/2/15 5:00,"9,342","9,370","9,260","9,300",101
2018/2/15 4:00,"9,280","9,350","9,250","9,350",93
2018/2/15 3:00,"9,340","9,400","9,210","9,280",201
2018/2/15 2:00,"9,310","9,440","9,270","9,390",452
2018/2/15 1:00,"9,360","9,360","9,280","9,300",239
2018/2/15 0:00,"9,300","9,389","9,240","9,340",241
2018/2/14 23:00,"9,230","9,320","9,200","9,290",345
2018/2/14 22:00,"9,270","9,320","9,200","9,220",153
2018/2/14 21:00,"9,230","9,350","9,160","9,310",169
2018/2/14 20:00,"8,830","9,310","8,830","9,250",158
2018/2/14 19:00,"8,850","8,860","8,790","8,830",24
2018/2/14 18:00,"8,870","8,890","8,840","8,890",55
2018/2/14 17:00,"8,930","8,940","8,840","8,880",69
2018/2/14 16:00,"8,890","8,950","8,880","8,880",26
2018/2/14 15:00,"8,880","8,890","8,800","8,890",31
2018/2/14 14:00,"8,790","8,900","8,790","8,870",82
2018/2/14 13:00,"8,870","8,880","8,770","8,790",119
2018/2/14 12:00,"8,710","8,870","8,690","8,870",92
2018/2/14 11:00,"8,700","8,750","8,680","8,700",57
2018/2/14 10:00,"8,640","8,740","8,640","8,690",67
2018/2/14 9:00,"8,570","8,680","8,570","8,630",92
2018/2/14 8:00,"8,510","8,590","8,510","8,560",39
2018/2/14 7:00,"8,610","8,620","8,490","8,490",18
2018/2/14 6:00,"8,630","8,630","8,550","8,550",6
2018/2/14 5:00,"8,740","8,759","8,690","8,710",17
2018/2/14 4:00,"8,610","8,760","8,610","8,740",70
2018/2/14 3:00,"8,680","8,680","8,580","8,620",41
2018/2/14 2:00,"8,630","8,690","8,590","8,670",46
2018/2/14 1:00,"8,580","8,660","8,530","8,610",97
2018/2/14 0:00,"8,550","8,580","8,490","8,570",89
2018/2/13 23:00,"8,680","8,700","8,540","8,550",62
2018/2/13 22:00,"8,560","8,690","8,550","8,630",48
2018/2/13 21:00,"8,590","8,640","8,550","8,590",39
2018/2/13 20:00,"8,470","8,580","8,470","8,580",20
2018/2/13 19:00,"8,480","8,560","8,440","8,470",56
2018/2/13 18:00,"8,440","8,470","8,390","8,430",64
2018/2/13 17:00,"8,480","8,540","8,400","8,410",41
2018/2/13 16:00,"8,710","8,730","8,460","8,490",107
2018/2/13 15:00,"8,610","8,760","8,610","8,760",23
2018/2/13 14:00,"8,600","8,650","8,590","8,640",17
2018/2/13 13:00,"8,640","8,650","8,580","8,620",69
2018/2/13 12:00,"8,710","8,780","8,640","8,640",25
2018/2/13 11:00,"8,730","8,770","8,670","8,730",57
2018/2/13 10:00,"8,850","8,860","8,710","8,740",41
2018/2/13 9:00,"8,910","8,970","8,830","8,830",20
2018/2/13 8:00,"9,030","9,050","8,910","8,950",25
2018/2/13 7:00,"8,870","9,020","8,870","9,010",11
2018/2/13 6:00,"8,800","8,800","8,790","8,790",2
2018/2/13 5:00,"8,890","8,970","8,870","8,870",18
2018/2/13 4:00,"8,800","8,930","8,753","8,930",86
2018/2/13 3:00,"8,690","8,767","8,690","8,767",63
2018/2/13 2:00,"8,740","8,800","8,690","8,690",52
2018/2/13 1:00,"8,730","8,770","8,660","8,740",53
2018/2/13 0:00,"8,660","8,750","8,630","8,750",57
2018/2/12 23:00,"8,660","8,671","8,590","8,671",74
2018/2/12 22:00,"8,810","8,830","8,650","8,650",104
2018/2/12 21:00,"8,790","8,850","8,790","8,825",58
2018/2/12 20:00,"8,790","8,820","8,740","8,750",19
2018/2/12 19:00,"8,860","8,950","8,800","8,800",35
2018/2/12 18:00,"8,850","8,880","8,830","8,830",10
2018/2/12 17:00,"8,780","8,920","8,780","8,840",40
2018/2/12 16:00,"8,580","8,840","8,580","8,830",23
2018/2/12 15:00,"8,500","8,610","8,450","8,600",11
2018/2/12 14:00,"8,470","8,470","8,410","8,410",4
2018/2/12 13:00,"8,530","8,530","8,520","8,520",4
,,,,,
2018/2/12 11:00,"8,480","8,580","8,480","8,550",17
2018/2/12 10:00,"8,490","8,490","8,380","8,470",16
2018/2/12 9:00,"8,210","8,300","8,200","8,300",12
2018/2/12 8:00,"8,150","8,260","8,070","8,250",21
2018/2/12 7:00,"8,360","8,380","8,140","8,170",45
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2018/2/10 5:00,"8,630","8,710","8,610","8,660",27
2018/2/10 4:00,"8,760","8,760","8,660","8,680",23
2018/2/10 3:00,"8,700","8,740","8,610","8,740",44
2018/2/10 2:00,"8,550","8,800","8,550","8,650",130
2018/2/10 1:00,"8,390","8,540","8,380","8,520",54
2018/2/10 0:00,"8,400","8,430","8,350","8,410",22
2018/2/9 23:00,"8,432","8,540","8,425","8,444",102
2018/2/9 22:00,"8,255","8,450","8,255","8,360",54
2018/2/9 21:00,"8,200","8,280","8,200","8,240",9
2018/2/9 20:00,"8,320","8,400","8,200","8,200",39
2018/2/9 19:00,"8,230","8,330","8,230","8,310",40
2018/2/9 18:00,"8,280","8,340","8,270","8,340",17
2018/2/9 17:00,"7,920","8,310","7,920","8,290",35
2018/2/9 16:00,"8,050","8,050","7,890","7,920",18
2018/2/9 15:00,"7,930","8,080","7,920","8,040",8
2018/2/9 14:00,"7,770","7,900","7,750","7,900",38
2018/2/9 13:00,"7,920","7,920","7,760","7,760",47
2018/2/9 12:00,"7,950","8,080","7,940","7,960",28
2018/2/9 11:00,"8,000","8,170","7,900","7,960",26
2018/2/9 10:00,"7,920","8,020","7,920","8,020",10
2018/2/9 9:00,"8,100","8,100","7,820","7,880",16
2018/2/9 8:00,"8,240","8,240","8,160","8,160",11
2018/2/9 7:00,"8,290","8,330","8,220","8,330",22
2018/2/9 6:00,"8,180","8,290","8,180","8,200",48
2018/2/9 5:00,"8,430","8,430","8,290","8,290",26
2018/2/9 4:00,"8,310","8,550","8,310","8,430",108
2018/2/9 3:00,"8,130","8,350","8,130","8,350",51
2018/2/9 2:00,"8,180","8,310","8,070","8,140",42
2018/2/9 1:00,"8,270","8,330","8,160","8,160",50
2018/2/9 0:00,"8,420","8,420","8,180","8,190",132
2018/2/8 23:00,"8,420","8,540","8,390","8,420",16
2018/2/8 22:00,"8,560","8,560","8,430","8,490",54
2018/2/8 21:00,"8,550","8,690","8,540","8,600",52
2018/2/8 20:00,"8,540","8,540","8,410","8,450",20
2018/2/8 19:00,"8,540","8,650","8,530","8,570",12
2018/2/8 18:00,"8,240","8,620","8,240","8,540",24
2018/2/8 17:00,"8,240","8,310","8,200","8,200",39
2018/2/8 16:00,"8,250","8,400","8,250","8,400",39
2018/2/8 15:00,"8,050","8,190","8,050","8,130",30
2018/2/8 14:00,"8,120","8,120","8,120","8,120",2
2018/2/8 13:00,"8,310","8,310","8,100","8,100",18
2018/2/8 12:00,"8,060","8,280","8,060","8,270",6
2018/2/8 11:00,"8,140","8,170","7,950","7,950",8
2018/2/8 10:00,"7,950","8,150","7,910","8,090",28
2018/2/8 9:00,"7,830","7,830","7,710","7,820",18
2018/2/8 8:00,"7,750","7,750","7,600","7,620",9
2018/2/8 7:00,"7,910","7,940","7,720","7,740",51
2018/2/8 6:00,"8,180","8,280","7,820","7,880",91
2018/2/8 5:00,"8,000","8,300","8,000","8,280",27
2018/2/8 4:00,"8,230","8,230","8,100","8,150",12
2018/2/8 3:00,"8,310","8,400","8,240","8,260",11
2018/2/8 2:00,"8,350","8,510","8,341","8,390",36
2018/2/8 1:00,"8,070","8,310","8,000","8,310",52
2018/2/8 0:00,"8,220","8,290","8,140","8,160",18
2018/2/7 23:00,"8,170","8,370","8,170","8,270",34
2018/2/7 22:00,"8,400","8,480","8,230","8,260",20
2018/2/7 21:00,"8,260","8,580","8,220","8,580",32
2018/2/7 20:00,"8,080","8,270","8,080","8,150",73
2018/2/7 19:00,"8,170","8,340","8,090","8,090",8
2018/2/7 18:00,"7,990","8,260","7,990","8,200",32
2018/2/7 17:00,"7,800","7,950","7,710","7,950",11
