date,begin,high,low,end,volume
2018/2/16 15:00,"10,115","10,165","10,110","10,165",3
2018/2/16 14:00,"10,080","10,200","10,080","10,180",24
2018/2/16 13:00,"10,110","10,110","10,010","10,010",5
2018/2/16 12:00,"10,190","10,190","10,190","10,190",1
2018/2/16 11:00,"10,295","10,335","10,220","10,220",19
2018/2/16 10:00,"10,265","10,295","10,215","10,295",19
2018/2/16 9:00,"10,115","10,250","10,115","10,250",13
2018/2/16 8:00,"10,095","10,195","10,075","10,075",14
2018/2/16 6:00,"10,135","10,135","9,900","9,950",10
2018/2/16 5:00,"10,160","10,195","10,050","10,155",35
2018/2/16 4:00,"10,080","10,195","10,070","10,160",38
2018/2/16 3:00,"10,105","10,220","9,980","10,055",26
2018/2/16 2:00,"9,915","10,075","9,875","10,055",16
2018/2/16 1:00,"9,830","9,890","9,830","9,890",10
2018/2/16 0:00,"9,880","9,880","9,820","9,825",9
2018/2/15 23:00,"9,700","9,905","9,700","9,900",31
2018/2/15 21:00,"9,680","9,680","9,680","9,680",1
2018/2/15 20:00,"9,720","9,720","9,560","9,560",4
2018/2/15 19:00,"9,575","9,575","9,495","9,495",3
2018/2/15 18:00,"9,900","9,925","9,500","9,665",39
2018/2/15 17:00,"9,815","9,860","9,815","9,840",10
2018/2/15 16:00,"9,795","9,795","9,795","9,795",3
2018/2/15 14:00,"9,670","9,670","9,670","9,670",1
2018/2/15 13:00,"9,715","9,740","9,715","9,740",3
2018/2/15 12:00,"9,665","9,720","9,665","9,700",13
2018/2/15 11:00,"9,495","9,650","9,495","9,650",11
2018/2/15 10:00,"9,450","9,450","9,450","9,450",1
2018/2/15 9:00,"9,485","9,505","9,485","9,505",2
2018/2/15 8:00,"9,450","9,535","9,450","9,510",16
,,,,,
2018/2/15 6:00,"9,340","9,340","9,340","9,340",5
2018/2/15 5:00,"9,285","9,365","9,285","9,325",8
2018/2/15 4:00,"9,300","9,315","9,280","9,315",14
2018/2/15 3:00,"9,395","9,415","9,300","9,300",4
2018/2/15 2:00,"9,345","9,345","9,320","9,320",8
2018/2/15 1:00,"9,385","9,405","9,345","9,345",15
2018/2/15 0:00,"9,270","9,440","9,270","9,440",14
2018/2/14 23:00,"9,290","9,290","9,245","9,245",9
2018/2/14 22:00,"9,365","9,385","9,300","9,300",7
2018/2/14 21:00,"9,020","9,330","9,020","9,210",29
2018/2/14 20:00,"8,830","8,990","8,830","8,990",3
2018/2/14 19:00,"8,870","8,870","8,840","8,840",5
2018/2/14 18:00,"8,840","8,840","8,830","8,830",2
2018/2/14 17:00,"8,900","8,900","8,900","8,900",1
2018/2/14 16:00,"8,905","8,905","8,905","8,905",1
2018/2/14 15:00,"8,910","8,910","8,910","8,910",1
,,,,,
2018/2/14 13:00,"8,795","8,795","8,795","8,795",1
,,,,,
,,,,,
,,,,,
2018/2/14 9:00,"8,540","8,620","8,540","8,610",3
2018/2/14 8:00,"8,520","8,520","8,520","8,520",2
,,,,,
2018/2/14 6:00,"8,700","8,735","8,570","8,570",7
2018/2/14 5:00,"8,695","8,750","8,695","8,730",12
2018/2/14 4:00,"8,595","8,605","8,595","8,605",2
2018/2/14 3:00,"8,660","8,680","8,625","8,625",7
2018/2/14 2:00,"8,600","8,630","8,600","8,630",4
2018/2/14 1:00,"8,520","8,540","8,520","8,540",10
2018/2/14 0:00,"8,475","8,525","8,475","8,510",8
2018/2/13 23:00,"8,610","8,610","8,610","8,610",1
2018/2/13 22:00,"8,600","8,600","8,555","8,555",21
2018/2/13 21:00,"8,525","8,585","8,525","8,585",6
2018/2/13 20:00,"8,480","8,480","8,450","8,450",4
2018/2/13 19:00,"8,535","8,535","8,500","8,500",2
2018/2/13 18:00,"8,435","8,460","8,400","8,460",6
2018/2/13 17:00,"8,605","8,605","8,470","8,490",13
,,,,,
2018/2/13 15:00,"8,690","8,690","8,690","8,690",1
,,,,,
2018/2/13 13:00,"8,690","8,690","8,585","8,585",2
2018/2/13 12:00,"8,720","8,720","8,720","8,720",1
,,,,,
2018/2/13 10:00,"8,850","8,850","8,850","8,850",1
2018/2/13 9:00,"8,910","8,910","8,900","8,900",2
2018/2/13 8:00,"9,005","9,005","8,950","8,950",2
,,,,,
,,,,,
2018/2/13 5:00,"8,845","8,870","8,845","8,870",2
2018/2/13 4:00,"8,735","8,860","8,735","8,860",11
2018/2/13 3:00,"8,720","8,755","8,695","8,700",14
2018/2/13 2:00,"8,750","8,750","8,750","8,750",4
2018/2/13 1:00,"8,740","8,740","8,740","8,740",1
2018/2/13 0:00,"8,625","8,685","8,625","8,670",29
2018/2/12 23:00,"8,650","8,650","8,590","8,615",8
2018/2/12 22:00,"8,775","8,820","8,750","8,750",16
2018/2/12 21:00,"8,710","8,750","8,710","8,750",2
2018/2/12 20:00,"8,750","8,750","8,710","8,710",2
2018/2/12 19:00,"8,810","8,810","8,810","8,810",2
2018/2/12 18:00,"8,825","8,825","8,790","8,825",4
2018/2/12 17:00,"8,610","8,830","8,610","8,800",16
,,,,,
2018/2/12 15:00,"8,450","8,450","8,450","8,450",1
2018/2/12 14:00,"8,440","8,440","8,380","8,380",6
2018/2/12 13:00,"8,545","8,590","8,500","8,535",5
2018/2/12 12:00,"8,515","8,515","8,515","8,515",2
2018/2/12 11:00,"8,525","8,525","8,520","8,520",3
2018/2/12 10:00,"8,380","8,380","8,380","8,380",1
,,,,,
2018/2/12 8:00,"8,510","8,510","8,135","8,135",7
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2018/2/10 6:00,"8,560","8,560","8,475","8,475",3
,,,,,
2018/2/10 4:00,"8,695","8,720","8,695","8,720",2
2018/2/10 3:00,"8,635","8,635","8,635","8,635",2
2018/2/10 2:00,"8,500","8,755","8,500","8,655",28
2018/2/10 1:00,"8,425","8,430","8,425","8,430",3
2018/2/10 0:00,"8,360","8,405","8,360","8,405",3
2018/2/9 23:00,"8,355","8,500","8,355","8,455",10
,,,,,
,,,,,
2018/2/9 20:00,"8,330","8,330","8,330","8,330",1
,,,,,
2018/2/9 18:00,"8,195","8,325","8,195","8,230",15
2018/2/9 17:00,"7,930","7,930","7,930","7,930",1
2018/2/9 16:00,"7,995","7,995","7,995","7,995",1
2018/2/9 15:00,"7,900","7,900","7,900","7,900",1
2018/2/9 14:00,"7,750","7,750","7,720","7,720",3
2018/2/9 13:00,"7,905","7,905","7,780","7,780",2
2018/2/9 12:00,"8,035","8,035","8,035","8,035",1
,,,,,
2018/2/9 10:00,"7,785","7,785","7,785","7,785",2
2018/2/9 9:00,"8,020","8,020","7,990","7,990",3
2018/2/9 8:00,"8,265","8,265","8,265","8,265",1
,,,,,
,,,,,
,,,,,
,,,,,
2018/2/9 3:00,"8,170","8,200","8,105","8,200",7
2018/2/9 2:00,"8,265","8,270","8,165","8,185",16
2018/2/9 1:00,"8,275","8,320","8,200","8,200",20
2018/2/9 0:00,"8,465","8,465","8,230","8,230",8
,,,,,
2018/2/8 22:00,"8,550","8,550","8,520","8,520",6
2018/2/8 21:00,"8,605","8,605","8,600","8,600",7
,,,,,
2018/2/8 19:00,"8,410","8,565","8,390","8,550",9
,,,,,
2018/2/8 17:00,"8,305","8,305","8,270","8,280",6
2018/2/8 16:00,"8,100","8,105","8,075","8,075",32
2018/2/8 15:00,"8,045","8,045","8,045","8,045",1
2018/2/8 14:00,"8,215","8,215","8,205","8,205",4
2018/2/8 13:00,"8,105","8,180","8,105","8,180",2
,,,,,
2018/2/8 11:00,"8,045","8,045","8,045","8,045",1
2018/2/8 10:00,"7,785","7,785","7,785","7,785",1
