btcdate,btcbegin,cboebegin,cboehigh,cboelow,cboeend,cboevolumn
2017-12-11 07:00:00,14690.4258,14710.0,14710.0,14710.0,14710.0,1.0
2017-12-11 08:00:00,14646.6904,15570.0,15755.0,15570.0,15755.0,1.5
2017-12-11 09:00:00,15097.2529,16430.0,16800.0,16430.0,16800.0,2.0
2017-12-11 10:00:00,15459.7676,17000.0,17260.0,17000.0,17260.0,3.0
2017-12-11 11:00:00,16162.8467,17540.0,18660.0,17400.0,18660.0,7.0
2017-12-11 12:00:00,16502.0645,18880.0,18880.0,18240.0,18240.0,9.0
2017-12-11 13:00:00,16404.9297,18190.0,18250.0,18130.0,18250.0,3.0
2017-12-11 14:00:00,16333.7871,18250.0,19330.0,18250.0,18400.0,15.0
2017-12-11 15:00:00,16517.4531,18840.0,18840.0,18840.0,18840.0,1.0
2017-12-11 16:00:00,16807.832,19080.0,19120.0,19050.0,19090.0,6.0
2017-12-11 17:00:00,16809.4219,19100.0,19100.0,19100.0,19100.0,1.0
2017-12-11 18:00:00,16717.6855,19070.0,19070.0,19070.0,19070.0,1.0
2017-12-11 19:00:00,16666.2734,19040.0,19040.0,19040.0,19040.0,1.0
2017-12-11 20:00:00,16688.6992,18530.0,18530.0,17840.0,18260.0,4.0
2017-12-11 21:00:00,16489.1211,18260.0,18260.0,18260.0,18260.0,1.0
2017-12-11 22:00:00,16572.4551,18050.0,18080.0,18050.0,18080.0,2.0
2017-12-11 23:00:00,16485.3457,18190.0,18680.0,18190.0,18200.0,4.0
2017-12-12 00:00:00,16405.0,18190.0,18500.0,18190.0,18500.0,11.0
2017-12-12 01:00:00,16495.3984,18500.0,18550.0,18090.0,18180.0,16.0
2017-12-12 02:00:00,16478.9883,18140.0,18260.0,18140.0,18260.0,2.0
2017-12-12 03:00:00,16388.2988,18390.0,18390.0,18390.0,18390.0,1.0
2017-12-12 04:00:00,16508.2246,18330.0,18980.0,18330.0,18980.0,8.0
2017-12-12 05:00:00,17028.957,18980.0,18980.0,18770.0,18770.0,7.0
