btcdate,btcbegin,btchigh,btclow,btcend,cboedate,cboebegin,cboehigh,cboelow,cboeend,cboevolumn
2018/2/16 14:00,10002.7793,10145.4453,10002.4316,10099.9063,2018/2/16 14:00,10130 ,10170 ,10090 ,10120 ,29 
2018/2/16 13:00,10121.5996,10125.2246,9955.7051,10002.7793,2018/2/16 13:00,10060 ,10140 ,9980 ,10110 ,106 
2018/2/16 12:00,10193.3984,10218.4492,10056.2695,10121.5996,2018/2/16 12:00,10180 ,10190 ,10050 ,10060 ,56 
2018/2/16 11:00,10300.0098,10300.543,10167.4785,10193.3984,2018/2/16 11:00,10240 ,10260 ,10170 ,10200 ,48 
2018/2/16 10:00,10237.0479,10300.0098,10155.6904,10300.0098,2018/2/16 10:00,10240 ,10320 ,10200 ,10230 ,102 
2018/2/16 9:00,10019.1172,10244.4453,10008.8867,10237.0479,2018/2/16 9:00,10130 ,10290 ,10120 ,10220 ,178 
2018/2/16 8:00,10094.9063,10152.1934,10012.8555,10019.1172,2018/2/16 8:00,10140 ,10200 ,10030 ,10140 ,83 
2018/2/16 7:00,9868.916,10117.7148,9865.5547,10094.9063,2018/2/16 7:00,9970 ,10190 ,9970 ,10100 ,121 
2018/2/16 6:00,10097.4414,10097.9492,9855.8535,9870.8047,2018/2/16 6:00,10060 ,10070 ,9880 ,9990 ,90 
2018/2/16 5:00,10118.8525,10144.9453,9980.8457,10097.4414,2018/2/16 5:00,10070 ,10140 ,10000 ,10120 ,145 
2018/2/16 4:00,10069.9961,10180.8789,10063.0645,10118.8525,2018/2/16 4:00,10150 ,10200 ,10040 ,10080 ,424 
2018/2/16 3:00,10086.5645,10235.1523,9971.9102,10069.9961,2018/2/16 3:00,10170 ,10200 ,9970 ,10140 ,652 
2018/2/16 2:00,9918.9199,10090.7793,9871.5605,10086.5645,2018/2/16 2:00,10090 ,10220 ,9980 ,10160 ,716 
2018/2/16 1:00,9843.2402,9919.9961,9790.8652,9918.9199,2018/2/16 1:00,9880 ,10090 ,9850 ,10080 ,285 
2018/2/16 0:00,9884.9434,9889.9434,9782.9063,9843.2402,2018/2/16 0:00,9870 ,9920 ,9800 ,9890 ,272 
2018/2/15 23:00,9676.0957,9887.6504,9671.0088,9884.9434,2018/2/15 23:00,9810 ,9910 ,9790 ,9870 ,494 
2018/2/15 22:00,9730.5371,9741.1807,9643.0586,9676.0957,2018/2/15 22:00,9720 ,9820 ,9640 ,9800 ,343 
2018/2/15 21:00,9616.4971,9780.6484,9610.8975,9730.5371,2018/2/15 21:00,9700 ,9790 ,9680 ,9700 ,227 
2018/2/15 20:00,9678.0996,9772.9609,9561.5732,9616.4971,2018/2/15 20:00,9600 ,9720 ,9560 ,9690 ,154 
2018/2/15 19:00,9653.1484,9729.3008,9496.5547,9676.0449,2018/2/15 19:00,9600 ,9780 ,9580 ,9590 ,191 
2018/2/15 18:00,9885.8242,9966.3457,9565.2246,9653.1484,2018/2/15 18:00,9920 ,9940 ,9480 ,9580 ,605 
2018/2/15 17:00,9849.541,9893.0332,9818.8311,9885.8242,2018/2/15 17:00,9840 ,9950 ,9830 ,9930 ,151 
2018/2/15 16:00,9710.7559,9852.8945,9698.3994,9849.541,2018/2/15 16:00,9720 ,9880 ,9720 ,9850 ,145 
2018/2/15 15:00,9703.4492,9776.4863,9690.0059,9710.7559,2018/2/15 15:00,9750 ,9750 ,9700 ,9730 ,44 
2018/2/15 14:00,9747.125,9747.5449,9655.8945,9703.4492,2018/2/15 14:00,9690 ,9790 ,9690 ,9730 ,60 
2018/2/15 13:00,9667.6543,9748.1465,9636.8496,9747.125,2018/2/15 13:00,9670 ,9760 ,9660 ,9690 ,126 
2018/2/15 12:00,9635.2422,9735,9619.2744,9667.6543,2018/2/15 12:00,9650 ,9730 ,9630 ,9660 ,80 
2018/2/15 11:00,9402.5977,9688.7754,9402.2988,9635.2422,2018/2/15 11:00,9490 ,9750 ,9480 ,9640 ,268 
2018/2/15 10:00,9382.5996,9450.875,9381.5977,9402.5977,2018/2/15 10:00,9470 ,9520 ,9410 ,9510 ,68 
2018/2/15 9:00,9482.7988,9495.2969,9350.75,9382.5996,2018/2/15 9:00,9510 ,9520 ,9360 ,9450 ,72 
2018/2/15 8:00,9439.0996,9509.8184,9403.7334,9482.7988,2018/2/15 8:00,9470 ,9530 ,9440 ,9500 ,116 
2018/2/15 7:00,9287.9609,9444.4004,9246.9805,9439.0996,2018/2/15 7:00,9390 ,9460 ,9390 ,9450 ,77 
2018/2/15 6:00,9298.3086,9316.1445,9246.9961,9287.9609,2018/2/15 6:00,9350 ,9384 ,9310 ,9384 ,31 
2018/2/15 5:00,9253.8105,9325.75,9215.9492,9298.3086,2018/2/15 5:00,9342 ,9370 ,9260 ,9300 ,101 
2018/2/15 4:00,9297.9941,9302.3877,9188.1133,9253.8105,2018/2/15 4:00,9280 ,9350 ,9250 ,9350 ,93 
2018/2/15 3:00,9312.793,9371.6006,9247.5645,9297.9941,2018/2/15 3:00,9340 ,9400 ,9210 ,9280 ,201 
2018/2/15 2:00,9279.584,9317.3428,9241.375,9312.793,2018/2/15 2:00,9310 ,9440 ,9270 ,9390 ,452 
2018/2/15 1:00,9341.9902,9355.8906,9244.1621,9279.584,2018/2/15 1:00,9360 ,9360 ,9280 ,9300 ,239 
2018/2/15 0:00,9176.8555,9344.6348,9176.8555,9341.9902,2018/2/15 0:00,9300 ,9389 ,9240 ,9340 ,241 
2018/2/14 23:00,9229.1152,9246.9883,9151.8633,9176.8555,2018/2/14 23:00,9230 ,9320 ,9200 ,9290 ,345 
2018/2/14 22:00,9175.9043,9306.0996,9152.6563,9229.1152,2018/2/14 22:00,9270 ,9320 ,9200 ,9220 ,153 
2018/2/14 21:00,8947.998,9249.4473,8943.6943,9175.9043,2018/2/14 21:00,9230 ,9350 ,9160 ,9310 ,169 
2018/2/14 20:00,8773.2383,8954.8242,8766.6602,8947.998,2018/2/14 20:00,8830 ,9310 ,8830 ,9250 ,158 
2018/2/14 19:00,8799.5645,8847.2012,8761.0488,8773.2344,2018/2/14 19:00,8850 ,8860 ,8790 ,8830 ,24 
2018/2/14 18:00,8877,8894,8779.8691,8799.5645,2018/2/14 18:00,8870 ,8890 ,8840 ,8890 ,55 
2018/2/14 17:00,8893.4941,8910.041,8833.9521,8877,2018/2/14 17:00,8930 ,8940 ,8840 ,8880 ,69 
2018/2/14 16:00,8791.7412,8906.2949,8789.3867,8893.4941,2018/2/14 16:00,8890 ,8950 ,8880 ,8880 ,26 
2018/2/14 15:00,8842.5957,8871.8896,8790.3242,8791.7412,2018/2/14 15:00,8880 ,8890 ,8800 ,8890 ,31 
2018/2/14 14:00,8805.0059,8872.5,8746.8867,8842.5742,2018/2/14 14:00,8790 ,8900 ,8790 ,8870 ,82 
2018/2/14 13:00,8696.7949,8843.5508,8696.7949,8803.3145,2018/2/14 13:00,8870 ,8880 ,8770 ,8790 ,119 
2018/2/14 12:00,8689.3008,8722.0723,8642.4531,8698.3984,2018/2/14 12:00,8710 ,8870 ,8690 ,8870 ,92 
2018/2/14 11:00,8649.002,8733.9346,8645.2207,8689.3008,2018/2/14 11:00,8700 ,8750 ,8680 ,8700 ,57 
2018/2/14 10:00,8591.9043,8676.7695,8588.7461,8649.002,2018/2/14 10:00,8640 ,8740 ,8640 ,8690 ,67 
2018/2/14 9:00,8517.6719,8635.1279,8512.1797,8591.8984,2018/2/14 9:00,8570 ,8680 ,8570 ,8630 ,92 
2018/2/14 8:00,8552.1113,8559.7656,8479.0654,8517.6719,2018/2/14 8:00,8510 ,8590 ,8510 ,8560 ,39 
2018/2/14 7:00,8557.9063,8574.4854,8481.0488,8554.4102,2018/2/14 7:00,8610 ,8620 ,8490 ,8490 ,18 
2018/2/14 6:00,8710.4395,8711.748,8550.2852,8557.9063,2018/2/14 6:00,8630 ,8630 ,8550 ,8550 ,6 
2018/2/14 5:00,8620.4238,8733.1191,8611.6123,8710.4395,2018/2/14 5:00,8740 ,8759 ,8690 ,8710 ,17 
2018/2/14 4:00,8586.8652,8620.4238,8551.5977,8620.4238,2018/2/14 4:00,8610 ,8760 ,8610 ,8740 ,70 
2018/2/14 3:00,8631.0703,8666.0801,8583.832,8586.8652,2018/2/14 3:00,8680 ,8680 ,8580 ,8620 ,41 
2018/2/14 2:00,8559.2656,8643.5996,8551.457,8631.0703,2018/2/14 2:00,8630 ,8690 ,8590 ,8670 ,46 
2018/2/14 1:00,8502.1484,8572.9326,8493.8896,8559.2656,2018/2/14 1:00,8580 ,8660 ,8530 ,8610 ,97 
2018/2/14 0:00,8605.7148,8607.459,8482.5273,8502.1484,2018/2/14 0:00,8550 ,8580 ,8490 ,8570 ,89 
2018/2/13 23:00,8603,8655.2012,8583.4375,8605.7148,2018/2/13 23:00,8680 ,8700 ,8540 ,8550 ,62 
2018/2/13 22:00,8585.1201,8647.6826,8538.0742,8603,2018/2/13 22:00,8560 ,8690 ,8550 ,8630 ,48 
2018/2/13 21:00,8519.8447,8603.8535,8457.2949,8585.1201,2018/2/13 21:00,8590 ,8640 ,8550 ,8590 ,39 
2018/2/13 20:00,8512.2041,8581.2012,8422.5801,8519.8447,2018/2/13 20:00,8470 ,8580 ,8470 ,8580 ,20 
2018/2/13 19:00,8458.1377,8531.7051,8378.6094,8512.2041,2018/2/13 19:00,8480 ,8560 ,8440 ,8470 ,56 
2018/2/13 18:00,8540.9678,8548.9063,8395.9922,8458.1377,2018/2/13 18:00,8440 ,8470 ,8390 ,8430 ,64 
2018/2/13 17:00,8635.1387,8639.6631,8445.5596,8540.9678,2018/2/13 17:00,8480 ,8540 ,8400 ,8410 ,41 
2018/2/13 16:00,8714.4619,8742.8301,8635.1387,8635.1387,2018/2/13 16:00,8710 ,8730 ,8460 ,8490 ,107 
