btcdate,btcbegin,btchigh,btclow,btcend,cboebegin,cboehigh,cboelow,cboeend,cboevolumn
2017-12-11 07:00:00,14690.4258,15184.1602,14538.3965,14646.6904,14710.0,14710.0,14710.0,14710.0,1.0
2017-12-11 08:00:00,14646.6904,15916.0957,14643.7852,15097.2529,15570.0,15755.0,15570.0,15755.0,1.5
2017-12-11 09:00:00,15097.2529,15546.0771,15060.0107,15459.7676,16430.0,16800.0,16430.0,16800.0,2.0
2017-12-11 10:00:00,15459.7676,16179.0859,15458.7402,16162.8467,17000.0,17260.0,17000.0,17260.0,3.0
2017-12-11 11:00:00,16162.8467,16503.3926,16004.5996,16502.0645,17540.0,18660.0,17400.0,18660.0,7.0
2017-12-11 12:00:00,16502.0645,16902.2148,16392.5703,16404.9297,18880.0,18880.0,18240.0,18240.0,9.0
2017-12-11 13:00:00,16404.9297,16666.4629,16114.3027,16337.2197,18190.0,18250.0,18130.0,18250.0,3.0
2017-12-11 14:00:00,16333.7871,16640.3945,16314.2354,16517.4531,18250.0,19330.0,18250.0,18400.0,15.0
2017-12-11 15:00:00,16517.4531,16904.7852,16450.75,16802.1074,18840.0,18840.0,18840.0,18840.0,1.0
2017-12-11 16:00:00,16807.832,16916.7559,16620.8496,16809.4219,19080.0,19120.0,19050.0,19090.0,6.0
2017-12-11 17:00:00,16809.4219,16965.3867,16648.7988,16717.6855,19100.0,19100.0,19100.0,19100.0,1.0
2017-12-11 18:00:00,16717.6855,16741.8359,16578.4023,16666.2734,19070.0,19070.0,19070.0,19070.0,1.0
2017-12-11 19:00:00,16666.2734,16792.1602,16618.9004,16688.6992,19040.0,19040.0,19040.0,19040.0,1.0
2017-12-11 20:00:00,16688.6992,16758.0156,16467.5859,16489.1211,18530.0,18530.0,17840.0,18260.0,4.0
2017-12-11 21:00:00,16489.1211,16787.8477,16431.6504,16572.4551,18260.0,18260.0,18260.0,18260.0,1.0
2017-12-11 22:00:00,16572.4551,16662.2969,16372.0996,16485.3457,18050.0,18080.0,18050.0,18080.0,2.0
2017-12-11 23:00:00,16485.3457,16738.6758,16316.1953,16400.0,18190.0,18680.0,18190.0,18200.0,4.0
2017-12-12 00:00:00,16405.0,16599.0,16338.2773,16495.3984,18190.0,18500.0,18190.0,18500.0,11.0
2017-12-12 01:00:00,16495.3984,16570.8711,16353.6738,16480.7988,18500.0,18550.0,18090.0,18180.0,16.0
2017-12-12 02:00:00,16478.9883,16504.1328,16312.0752,16388.2988,18140.0,18260.0,18140.0,18260.0,2.0
2017-12-12 03:00:00,16388.2988,16611.6504,16356.2988,16509.9492,18390.0,18390.0,18390.0,18390.0,1.0
2017-12-12 04:00:00,16508.2246,17037.957,16500.0,17021.4355,18330.0,18980.0,18330.0,18980.0,8.0
2017-12-12 05:00:00,17028.957,17426.4023,16999.75,17265.5,18980.0,18980.0,18770.0,18770.0,7.0
2017-12-12 06:00:00,17262.2012,17279.2852,16936.1504,17148.1992,18760.0,18830.0,18350.0,18350.0,8.0
2017-12-12 07:00:00,17148.1992,17149.3496,16902.9492,16949.0723,18150.0,18150.0,18150.0,18150.0,1.0
2017-12-12 08:00:00,16949.0723,17063.4922,16645.6504,16751.8594,18200.0,18200.0,18050.0,18050.0,3.0
2017-12-12 09:00:00,16750.4609,16827.8203,16550.5,16742.5,18155.0,18155.0,18080.0,18080.0,2.0
2017-12-12 10:00:00,16742.5,16997.8477,16602.5,16936.5918,18110.0,18110.0,18110.0,18110.0,1.0
2017-12-12 11:00:00,16936.5918,17016.6367,16659.5,16772.4004,18240.0,18240.0,18000.0,18000.0,4.0
2017-12-12 12:00:00,16765.8496,16798.1758,16331.5,16447.8301,17950.0,17960.0,17950.0,17950.0,7.0
2017-12-12 13:00:00,16450.0,16572.2012,16306.3984,16306.3984,17820.0,17820.0,17820.0,17820.0,1.0
2017-12-12 14:00:00,16306.3984,16599.3809,16296.7754,16540.5,17930.0,18070.0,17930.0,18070.0,3.0
2017-12-12 15:00:00,16541.5,16695.0547,16398.5,16637.3008,18050.0,18070.0,18050.0,18070.0,2.0
2017-12-12 16:00:00,16658.6289,16891.4512,16493.5,16885.7949,18225.0,18260.0,18175.0,18185.0,3.0
2017-12-12 17:00:00,16885.7949,16995.1445,16813.3008,16887.6992,18400.0,18450.0,18300.0,18300.0,4.0
2017-12-12 18:00:00,16887.6992,17020.2305,16848.5,16926.7148,18326.666666666668,18370.0,18236.666666666668,18236.666666666668,5.0
2017-12-12 19:00:00,16924.1602,16936.6758,16721.9492,16768.5957,18253.333333333332,18290.0,18173.333333333332,18173.333333333332,6.0
2017-12-12 20:00:00,16773.0313,16888.5,16722.5488,16780.0488,18180.0,18210.0,18110.0,18110.0,7.0
2017-12-12 21:00:00,16780.0488,16836.1016,16670.2656,16754.3984,18390.0,18390.0,18390.0,18390.0,1.0
2017-12-12 22:00:00,16754.3984,17278.1914,16723.5,17264.6348,18780.0,18900.0,18500.0,18500.0,7.0
2017-12-12 23:00:00,17264.6348,17273.2754,16897.3008,16956.4219,18470.0,18580.0,18400.0,18420.0,14.0
2017-12-13 00:00:00,16956.4219,17167.5,16856.0,17149.9727,18440.0,18840.0,18400.0,18800.0,13.0
2017-12-13 01:00:00,17149.9727,17257.0156,17043.0,17169.875,18730.0,18760.0,18660.0,18660.0,6.0
2017-12-13 02:00:00,17169.875,17314.5,17067.0039,17307.1426,18700.0,19190.0,18700.0,19190.0,5.0
2017-12-13 03:00:00,17307.1426,17552.5,17233.5,17384.1934,18880.0,18880.0,18680.0,18730.0,5.0
2017-12-13 04:00:00,17384.1934,17509.5,17226.2695,17373.6211,18700.0,18880.0,18680.0,18680.0,8.0
2017-12-13 05:00:00,17373.6211,17578.4473,17179.2461,17188.8867,18690.0,18700.0,18500.0,18550.0,5.0
2017-12-13 06:00:00,17188.8867,17393.9102,17078.0,17248.2227,18350.0,18350.0,18350.0,18350.0,1.0
2017-12-13 07:00:00,17248.2227,17546.5156,17055.125,17324.3301,18350.0,18450.0,18350.0,18450.0,2.0
2017-12-13 08:00:00,17327.6172,17515.248,17039.7461,17149.0117,18350.0,18550.0,18350.0,18550.0,3.0
2017-12-13 09:00:00,17149.0117,17539.8945,17149.0117,17442.8691,18510.0,18530.0,18510.0,18530.0,2.0
2017-12-13 10:00:00,17442.8691,17468.5684,16993.2754,17098.4648,18350.0,18350.0,18200.0,18200.0,3.0
2017-12-13 11:00:00,17098.4648,17270.3809,16377.208,16590.3457,18200.0,18200.0,18000.0,18000.0,3.0
2017-12-13 12:00:00,16590.3457,16908.1758,16493.0723,16682.1641,18100.0,18100.0,18000.0,18000.0,5.0
2017-12-13 13:00:00,16682.1641,16764.3984,16447.7734,16678.084,18000.0,18000.0,18000.0,18000.0,7.0
2017-12-13 14:00:00,16744.4707,17139.9238,16683.2051,17044.1445,18025.0,18025.0,18025.0,18025.0,5.75
2017-12-13 15:00:00,17037.3809,17037.3809,16715.6953,16986.3809,18050.0,18050.0,18050.0,18050.0,4.5
